trial_number,state_label,success,completion_time_s,failure_mode,notes
1,baseline,1,22.0,,
2,baseline,0,,missed_grasp,
3,baseline,0,,missed_grasp,
4,baseline,0,,wrong_position,
5,baseline,1,27.3,,
6,baseline,1,31.1,,
7,baseline,0,,timeout,did not drop the bottle
8,baseline,0,,timeout,took too long and arm kept moving afterward
9,baseline,1,63.1,,took too long
10,baseline,1,47.5,,took too long
1,ambient_variance,1,26.8,,
2,ambient_variance,1,26.7,,
3,ambient_variance,1,21.8,,
4,ambient_variance,1,43.8,,took a bit long
5,ambient_variance,0,,missed_grasp,
6,ambient_variance,1,21.7,,
7,ambient_variance,1,20.8,,
8,ambient_variance,1,21.3,,
9,ambient_variance,1,26.2,,start to grab after completion
10,ambient_variance,0,,missed_grasp,
1,geometry_shift,0,,wrong_position,
2,geometry_shift,0,,timeout,did not drop in the bin
3,geometry_shift,0,,timeout,
4,geometry_shift,1,42.9,,grabbing position a bit odd
5,geometry_shift,1,22.8,,
6,geometry_shift,0,,wrong_position,
7,geometry_shift,1,29.6,,
8,geometry_shift,0,,timeout,
9,geometry_shift,0,,wrong_position,not moving at all
10,geometry_shift,0,,timeout,
